session_id,timestamp,email,password,mouse_movements,time_to_submit,honeypot_filled,honeypot_total_length,keystrokes,focus_events,paste_events,email_length,password_length,cookies_enabled,is_attack,attack_type
session_000019,2026-01-11T22:59:33.942058,user19@yahoo.com,***,5,15.05,0,0,25,4,0,16,9,1,0,legitimate
session_000020,2026-01-14T22:59:33.942058,user20@outlook.com,***,8,11.58,0,0,37,9,0,18,12,1,0,legitimate
session_000021,2026-01-17T22:59:33.942058,user21@gmail.com,***,28,12.56,0,0,28,3,0,16,12,1,0,legitimate
session_000022,2026-01-27T22:59:33.942058,bot22@automated.com,botpass8828,0,0.27,1,19,0,0,1,19,11,1,1,bot
session_000023,2026-01-15T22:59:33.942058,user23@gmail.com,***,31,8.1,0,0,40,6,0,16,14,1,0,legitimate
session_000024,2026-02-01T22:59:33.942058,<iframe src=javascript:alert(1)>,,1,0.69,0,0,32,0,1,32,0,1,1,xss
session_000025,2026-01-23T22:59:33.942058,user25@company.com,***,35,8.24,0,0,34,10,1,18,14,1,0,legitimate
session_000026,2026-01-26T22:59:33.942058,..\..\..\windows\system32,test,0,0.64,0,0,25,1,1,25,4,1,1,path_traversal
session_000027,2026-01-18T22:59:33.942058,admin,pass550,0,0.59,0,0,6,1,0,5,7,1,1,brute_force
session_000028,2026-02-05T22:59:33.942058,user28@gmail.com,***,14,13.54,0,0,31,3,1,16,15,1,0,legitimate
session_000029,2026-02-04T22:59:33.942058,user29@yahoo.com,***,40,8.16,0,0,36,4,0,16,12,1,0,legitimate
session_000030,2026-02-07T22:59:33.942058,..%2F..%2F..%2Fetc%2Fpasswd,test,1,0.68,0,0,27,1,1,27,4,1,1,path_traversal
session_000031,2026-01-14T22:59:33.942058,user31@company.com,***,18,16.39,0,0,41,8,0,18,16,1,0,legitimate
session_000032,2026-02-01T22:59:33.942058,....//....//....//etc/passwd,test,2,1.2,0,0,28,0,1,28,4,1,1,path_traversal
session_000033,2026-01-18T22:59:33.942058,admin'--,123,3,1.03,1,8,9,0,1,8,3,1,1,sql_injection
session_000034,2026-01-11T22:59:33.942058,user34@gmail.com,***,44,14.05,0,0,33,10,0,16,10,1,0,legitimate
session_000035,2026-02-06T22:59:33.942058,user35@company.com,***,26,15.6,0,0,34,9,1,18,9,1,0,legitimate
session_000036,2026-01-12T22:59:33.942058,user36@outlook.com,***,44,11.33,0,0,28,5,0,18,8,1,0,legitimate
session_000037,2026-02-07T22:59:33.942058,admin' OR '1'='1'--,,0,1.12,1,19,5,1,0,19,0,1,1,sql_injection
session_000038,2026-01-23T22:59:33.942058,user38@outlook.com,***,37,15.46,0,0,31,4,1,18,11,1,0,legitimate
session_000039,2026-01-12T22:59:33.942058,user39@yahoo.com,***,30,13.88,0,0,34,5,1,16,8,1,0,legitimate
session_000040,2026-01-30T22:59:33.942058,user40@company.com,***,41,15.66,0,0,41,3,0,18,15,1,0,legitimate
session_000041,2026-01-14T22:59:33.942058,user41@outlook.com,***,18,11.21,0,0,36,3,0,18,16,1,0,legitimate
session_000042,2026-01-15T22:59:33.942058,....//....//....//etc/passwd,test,1,0.45,0,0,28,0,1,28,4,1,1,path_traversal
session_000043,2026-01-17T22:59:33.942058,user43@company.com,***,25,18.15,0,0,39,6,0,18,13,1,0,legitimate
session_000044,2026-01-13T22:59:33.942058,user44@yahoo.com,***,45,12.12,0,0,35,10,0,16,13,1,0,legitimate
session_000045,2026-01-12T22:59:33.942058,user45@yahoo.com,***,10,10.34,0,0,26,8,0,16,9,1,0,legitimate
session_000046,2026-02-01T22:59:33.942058,user46@yahoo.com,***,48,8.79,0,0,32,4,0,16,16,1,0,legitimate
session_000047,2026-01-29T22:59:33.942058,....//....//....//etc/passwd,test,1,1.12,0,0,28,1,1,28,4,1,1,path_traversal
session_000048,2026-01-09T22:59:33.942058,user48@outlook.com,***,39,6.43,0,0,29,5,1,18,9,1,0,legitimate
session_000049,2026-01-25T22:59:33.942058,user49@company.com,***,30,17.18,0,0,33,4,0,18,12,1,0,legitimate
session_000050,2026-01-23T22:59:33.942058,user50@company.com,***,41,5.06,0,0,35,6,1,18,14,1,0,legitimate
session_000051,2026-02-07T22:59:33.942058,user51@gmail.com,***,30,11.15,0,0,38,5,1,16,14,1,0,legitimate
session_000052,2026-01-10T22:59:33.942058,user52@outlook.com,***,21,19.01,0,0,34,8,0,18,14,1,0,legitimate
session_000053,2026-01-13T22:59:33.942058,bot53@automated.com,botpass8192,0,0.44,1,19,0,0,1,19,11,1,1,bot
session_000054,2026-01-28T22:59:33.942058,bot54@automated.com,botpass3480,0,0.18,1,19,0,0,1,19,11,1,1,bot
session_000055,2026-02-02T22:59:33.942058,user55@company.com,***,32,10.58,0,0,27,4,0,18,9,1,0,legitimate
session_000056,2026-01-25T22:59:33.942058,user56@yahoo.com,***,49,12.08,0,0,34,9,0,16,12,1,0,legitimate
session_000057,2026-01-29T22:59:33.942058,user57@gmail.com,***,15,19.52,0,0,37,4,1,16,13,1,0,legitimate
session_000058,2026-01-24T22:59:33.942058,user58@company.com,***,29,14.83,0,0,39,10,0,18,13,1,0,legitimate
session_000059,2026-01-09T22:59:33.942058,user59@outlook.com,***,31,3.6,0,0,36,5,0,18,10,1,0,legitimate
session_000060,2026-01-31T22:59:33.942058,user60@company.com,***,49,12.28,0,0,36,3,0,18,11,1,0,legitimate
session_000061,2026-02-06T22:59:33.942058,admin,pass31,0,0.86,0,0,4,2,0,5,6,1,1,brute_force
session_000062,2026-02-07T22:59:33.942058,bot62@automated.com,botpass3716,0,0.12,1,19,0,0,1,19,11,1,1,bot
session_000063,2026-01-29T22:59:33.942058,user63@yahoo.com,***,23,7.42,0,0,31,8,1,16,11,1,0,legitimate
session_000064,2026-01-24T22:59:33.942058,user64@outlook.com,***,48,9.34,0,0,26,9,0,18,8,1,0,legitimate
session_000065,2026-02-04T22:59:33.942058,user65@yahoo.com,***,46,7.36,0,0,29,2,0,16,12,1,0,legitimate
session_000066,2026-01-09T22:59:33.942058,user66@gmail.com,***,32,3.27,0,0,24,7,1,16,8,1,0,legitimate
session_000067,2026-01-18T22:59:33.942058,user67@outlook.com,***,43,4.38,0,0,32,7,0,18,11,1,0,legitimate
session_000068,2026-02-05T22:59:33.942058,user68@gmail.com,***,25,19.59,0,0,30,5,1,16,9,1,0,legitimate
session_000069,2026-01-18T22:59:33.942058,user69@company.com,***,26,19.56,0,0,27,3,0,18,9,1,0,legitimate
session_000070,2026-01-10T22:59:33.942058,user70@gmail.com,***,49,5.56,0,0,32,7,1,16,16,1,0,legitimate
session_000071,2026-02-03T22:59:33.942058,user71@yahoo.com,***,15,7.63,0,0,34,10,1,16,13,1,0,legitimate
session_000072,2026-02-01T22:59:33.942058,user72@outlook.com,***,38,9.05,0,0,38,6,1,18,16,1,0,legitimate
session_000073,2026-01-25T22:59:33.942058,user73@gmail.com,***,33,14.61,0,0,37,3,1,16,13,1,0,legitimate
session_000074,2026-02-04T22:59:33.942058,..\..\..\windows\system32,test,1,0.76,0,0,25,1,1,25,4,1,1,path_traversal
session_000075,2026-01-15T22:59:33.942058,user75@outlook.com,***,45,4.76,0,0,35,6,0,18,15,1,0,legitimate
session_000076,2026-01-25T22:59:33.942058,admin,pass792,0,0.52,0,0,10,2,0,5,7,1,1,brute_force
session_000077,2026-01-26T22:59:33.943067,user77@yahoo.com,***,8,8.82,0,0,27,5,0,16,11,1,0,legitimate
session_000078,2026-01-10T22:59:33.943067,user78@gmail.com,***,7,5.48,0,0,34,9,0,16,9,1,0,legitimate
session_000079,2026-01-18T22:59:33.943067,<body onload=alert('XSS')>,,1,0.78,0,0,26,0,1,26,0,1,1,xss
session_000080,2026-01-26T22:59:33.943067,user80@yahoo.com,***,17,5.29,0,0,29,6,0,16,11,1,0,legitimate
session_000081,2026-01-23T22:59:33.943067,<input onfocus=alert(1) autofocus>,pass,0,0.66,0,0,34,0,1,34,4,1,1,xss
session_000082,2026-01-28T22:59:33.943067,user82@outlook.com,***,39,6.45,0,0,42,10,0,18,14,1,0,legitimate
session_000083,2026-01-24T22:59:33.943067,user83@yahoo.com,***,37,19.22,0,0,37,4,1,16,14,1,0,legitimate
session_000084,2026-01-30T22:59:33.943067,bot84@automated.com,botpass7470,0,0.25,1,19,0,0,1,19,11,1,1,bot
session_000085,2026-02-08T22:59:33.943067,....//....//....//etc/passwd,test,2,1.07,0,0,28,1,1,28,4,1,1,path_traversal
session_000086,2026-01-14T22:59:33.943067,user86@company.com,***,20,17.15,0,0,42,10,0,18,16,1,0,legitimate
session_000087,2026-02-04T22:59:33.943067,admin,pass592,1,0.67,0,0,9,2,0,5,7,1,1,brute_force
session_000088,2026-01-25T22:59:33.943067,user88@yahoo.com,***,14,10.68,0,0,36,4,0,16,15,1,0,legitimate
session_000089,2026-01-16T22:59:33.943067,....//....//....//etc/passwd,test,0,1.16,0,0,28,0,1,28,4,1,1,path_traversal
session_000090,2026-02-04T22:59:33.943067,user90@outlook.com,***,45,7.33,0,0,31,4,0,18,10,1,0,legitimate
session_000091,2026-01-19T22:59:33.943067,user91@company.com,***,22,11.57,0,0,34,5,0,18,11,1,0,legitimate
session_000092,2026-01-10T22:59:33.943067,user92@yahoo.com,***,8,12.73,0,0,30,10,0,16,11,1,0,legitimate
session_000093,2026-01-20T22:59:33.943067,user93@yahoo.com,***,49,14.69,0,0,37,2,0,16,12,1,0,legitimate
session_000094,2026-01-23T22:59:33.943067,test@test.com| cat /etc/passwd,| nc -e /bin/sh,2,0.28,0,0,25,0,1,30,15,1,1,command_injection
session_000095,2026-01-28T22:59:33.943067,user95@outlook.com,***,35,9.36,0,0,36,9,0,18,11,1,0,legitimate
session_000096,2026-02-08T22:59:33.943067,user96@company.com,***,44,11.56,0,0,35,6,0,18,11,1,0,legitimate
session_000097,2026-02-02T22:59:33.943067,user97@gmail.com,***,31,2.73,0,0,33,4,0,16,10,1,0,legitimate
session_000098,2026-01-18T22:59:33.943067,user98@yahoo.com,***,10,2.39,0,0,39,5,1,16,15,1,0,legitimate
session_000099,2026-01-18T22:59:33.943067,bot99@automated.com,botpass1923,0,0.43,1,19,0,0,1,19,11,1,1,bot
session_000100,2026-01-21T22:59:33.943067,javascript:alert(1),test,2,0.71,0,0,19,0,1,19,4,1,1,xss
session_000101,2026-01-31T22:59:33.943067,user101@gmail.com,***,43,3.74,0,0,27,10,0,17,9,1,0,legitimate
session_000102,2026-01-09T22:59:33.943067,user102@yahoo.com,***,45,13.61,0,0,37,8,0,17,16,1,0,legitimate
session_000103,2026-01-10T22:59:33.943067,user103@yahoo.com,***,24,6.89,0,0,34,6,0,17,9,1,0,legitimate
session_000104,2026-02-07T22:59:33.943067,user104@yahoo.com,***,18,3.67,0,0,36,5,0,17,11,1,0,legitimate
session_000105,2026-01-17T22:59:33.943067,test@test.com`cat /etc/shadow`,| nc -e /bin/sh,0,0.7,0,0,20,2,1,30,15,1,1,command_injection
session_000106,2026-01-13T22:59:33.943067,user106@gmail.com,***,10,2.09,0,0,29,2,0,17,8,1,0,legitimate
session_000107,2026-01-09T22:59:33.943067,user107@yahoo.com,***,8,11.58,0,0,41,5,0,17,15,1,0,legitimate
session_000108,2026-01-22T22:59:33.943067,user108@gmail.com,***,5,10.31,0,0,30,5,0,17,10,1,0,legitimate
session_000109,2026-01-17T22:59:33.943067,user109@gmail.com,***,47,12.64,0,0,37,4,0,17,14,1,0,legitimate
session_000110,2026-02-02T22:59:33.943067,user110@gmail.com,***,30,9.62,0,0,26,5,0,17,8,1,0,legitimate
session_000111,2026-01-23T22:59:33.943067,user111@outlook.com,***,19,7.19,0,0,36,3,0,19,10,1,0,legitimate
session_000112,2026-02-01T22:59:33.943067,user112@company.com,***,26,7.91,0,0,35,10,0,19,14,1,0,legitimate
session_000113,2026-01-19T22:59:33.943067,user113@yahoo.com,***,5,15.5,0,0,33,2,1,17,16,1,0,legitimate
session_000114,2026-02-08T22:59:33.943067,user114@outlook.com,***,28,8.3,0,0,44,8,1,19,15,1,0,legitimate
session_000115,2026-01-30T22:59:33.943067,user115@yahoo.com,***,8,6.72,0,0,29,9,1,17,8,1,0,legitimate
session_000116,2026-01-27T22:59:33.943067,bot116@automated.com,botpass2542,0,0.4,1,20,0,0,1,20,11,1,1,bot
session_000117,2026-02-01T22:59:33.943067,..%2F..%2F..%2Fetc%2Fpasswd,test,0,0.74,0,0,27,0,1,27,4,1,1,path_traversal
session_000118,2026-01-14T22:59:33.943067,user118@outlook.com,***,41,13.84,0,0,37,5,0,19,14,1,0,legitimate
session_000119,2026-02-04T22:59:33.943067,user119@gmail.com,***,18,7.74,0,0,27,9,1,17,10,1,0,legitimate
session_000120,2026-01-19T22:59:33.943067,user120@company.com,***,9,5.1,0,0,41,9,1,19,12,1,0,legitimate
session_000121,2026-01-19T22:59:33.943067,<iframe src=javascript:alert(1)>,test,2,0.59,0,0,32,0,1,32,4,1,1,xss
session_000122,2026-01-22T22:59:33.943067,user122@yahoo.com,***,34,13.03,0,0,34,2,0,17,12,1,0,legitimate
session_000123,2026-02-02T22:59:33.943067,user123@yahoo.com,***,8,10.86,0,0,38,3,0,17,11,1,0,legitimate
session_000124,2026-01-11T22:59:33.943067,user124@outlook.com,***,19,11.81,0,0,30,7,0,19,9,1,0,legitimate
session_000125,2026-01-20T22:59:33.943067,user125@gmail.com,***,34,8.61,0,0,32,2,1,17,10,1,0,legitimate
session_000126,2026-02-03T22:59:33.943067,user126@company.com,***,34,7.61,0,0,34,4,1,19,10,1,0,legitimate
session_000127,2026-01-25T22:59:33.943067,user127@company.com,***,47,19.02,0,0,32,8,0,19,11,1,0,legitimate
session_000128,2026-02-08T22:59:33.943067,bot128@automated.com,botpass4262,0,0.24,1,20,0,0,1,20,11,1,1,bot
session_000129,2026-02-05T22:59:33.943067,user129@company.com,***,25,6.81,0,0,41,4,0,19,14,1,0,legitimate
session_000130,2026-01-10T22:59:33.943067,test@test.com| cat /etc/passwd,`cat /etc/shadow`,0,0.33,0,0,25,0,1,30,17,1,1,command_injection
session_000131,2026-01-17T22:59:33.943067,user131@outlook.com,***,27,10.26,0,0,41,9,0,19,15,1,0,legitimate
session_000132,2026-01-09T22:59:33.943067,user132@yahoo.com,***,14,14.83,0,0,34,6,0,17,11,1,0,legitimate
session_000133,2026-01-23T22:59:33.943067,....//....//....//etc/passwd,test,0,0.41,0,0,28,0,1,28,4,1,1,path_traversal
session_000134,2026-01-28T22:59:33.943067,user134@gmail.com,***,6,13.51,0,0,40,10,1,17,16,1,0,legitimate
session_000135,2026-01-27T22:59:33.943067,user135@company.com,***,22,6.86,0,0,32,4,0,19,8,1,0,legitimate
session_000136,2026-01-13T22:59:33.943067,user136@gmail.com,***,10,8.89,0,0,37,7,1,17,16,1,0,legitimate
session_000137,2026-01-11T22:59:33.943067,test,pass243,0,0.96,0,0,6,0,0,4,7,1,1,brute_force
session_000138,2026-01-16T22:59:33.943067,user138@gmail.com,***,24,8.64,0,0,37,4,0,17,14,1,0,legitimate
session_000139,2026-02-08T22:59:33.943067,user139@yahoo.com,***,47,13.32,0,0,41,5,0,17,16,1,0,legitimate
session_000140,2026-01-27T22:59:33.943067,test@test.com`cat /etc/shadow`,| cat /etc/passwd,0,0.63,0,0,17,2,1,30,17,1,1,command_injection
session_000141,2026-02-06T22:59:33.943067,user141@outlook.com,***,14,18.96,0,0,44,4,0,19,15,1,0,legitimate
session_000142,2026-02-01T22:59:33.943067,user142@outlook.com,***,39,18.87,0,0,37,9,1,19,14,1,0,legitimate
session_000143,2026-01-26T22:59:33.943067,user143@company.com,***,26,7.93,0,0,35,3,1,19,12,1,0,legitimate
session_000144,2026-01-14T22:59:33.943067,user144@gmail.com,***,21,12.58,0,0,31,8,1,17,11,1,0,legitimate
session_000145,2026-02-03T22:59:33.943067,test,pass133,1,0.42,0,0,8,0,0,4,7,1,1,brute_force
session_000146,2026-01-13T22:59:33.943067,user146@company.com,***,9,5.94,0,0,40,7,0,19,11,1,0,legitimate
session_000147,2026-01-15T22:59:33.943067,user147@gmail.com,***,40,9.95,0,0,36,2,0,17,11,1,0,legitimate
session_000148,2026-01-29T22:59:33.943067,admin,pass9,1,0.62,0,0,10,1,0,5,5,1,1,brute_force
session_000149,2026-01-25T22:59:33.943067,user149@yahoo.com,***,7,16.56,0,0,33,4,0,17,15,1,0,legitimate
session_000150,2026-01-09T22:59:33.943067,user150@yahoo.com,***,11,13.95,0,0,32,3,0,17,10,1,0,legitimate
session_000151,2026-02-02T22:59:33.943067,user151@gmail.com,***,10,2.2,0,0,40,10,0,17,15,1,0,legitimate
session_000152,2026-01-15T22:59:33.943067,user152@company.com,***,35,7.73,0,0,35,6,0,19,9,1,0,legitimate
session_000153,2026-02-08T22:59:33.943067,user153@yahoo.com,***,23,16.0,0,0,34,8,1,17,15,1,0,legitimate
session_000154,2026-02-04T22:59:33.943067,..\..\..\windows\system32,test,0,0.35,0,0,25,0,1,25,4,1,1,path_traversal
session_000155,2026-01-24T22:59:33.943067,user155@yahoo.com,***,39,19.21,0,0,33,3,1,17,8,1,0,legitimate
session_000156,2026-01-14T22:59:33.943067,user156@gmail.com,***,17,8.33,0,0,43,10,0,17,16,1,0,legitimate
session_000157,2026-01-24T22:59:33.943067,user157@company.com,***,38,19.43,0,0,30,9,1,19,8,1,0,legitimate
session_000158,2026-02-07T22:59:33.943067,user158@outlook.com,***,41,8.61,0,0,34,2,0,19,10,1,0,legitimate
session_000159,2026-02-07T22:59:33.943067,user159@company.com,***,19,12.42,0,0,38,7,1,19,13,1,0,legitimate
session_000160,2026-01-15T22:59:33.943067,user160@yahoo.com,***,39,3.58,0,0,36,10,0,17,11,1,0,legitimate
session_000161,2026-01-22T22:59:33.943067,user161@yahoo.com,***,5,14.46,0,0,33,9,0,17,13,1,0,legitimate
session_000162,2026-01-31T22:59:33.943067,user162@gmail.com,***,34,18.34,0,0,33,8,0,17,16,1,0,legitimate
session_000163,2026-01-22T22:59:33.943067,admin'--,,0,0.75,0,0,13,1,1,8,0,1,1,sql_injection
session_000164,2026-01-26T22:59:33.943067,user164@outlook.com,***,44,9.63,0,0,27,7,0,19,8,1,0,legitimate
session_000165,2026-01-16T22:59:33.943067,user165@yahoo.com,***,23,13.59,0,0,30,6,0,17,9,1,0,legitimate
session_000166,2026-01-09T22:59:33.943067,user166@gmail.com,***,18,7.54,0,0,30,7,0,17,9,1,0,legitimate
session_000167,2026-01-22T22:59:33.943067,user167@company.com,***,22,10.83,0,0,40,5,0,19,14,1,0,legitimate
session_000168,2026-01-30T22:59:33.943067,user168@company.com,***,12,13.15,0,0,38,2,1,19,10,1,0,legitimate
session_000169,2026-01-17T22:59:33.943067,user169@gmail.com,***,39,5.44,0,0,41,2,1,17,16,1,0,legitimate
session_000170,2026-01-25T22:59:33.943067,user170@gmail.com,***,36,8.62,0,0,29,7,0,17,12,1,0,legitimate
session_000171,2026-01-28T22:59:33.943067,user171@outlook.com,***,48,11.19,0,0,34,3,0,19,12,1,0,legitimate
session_000172,2026-01-25T22:59:33.943067,' UNION SELECT NULL--,admin,0,0.91,0,0,19,0,1,21,5,1,1,sql_injection
session_000173,2026-01-20T22:59:33.943067,test@test.com`cat /etc/shadow`,| nc -e /bin/sh,0,0.15,0,0,15,1,1,30,15,1,1,command_injection
session_000174,2026-01-26T22:59:33.943067,user174@company.com,***,26,11.83,0,0,38,2,0,19,10,1,0,legitimate
session_000175,2026-01-22T22:59:33.943067,admin' OR '1'='1,,3,1.08,1,16,15,1,0,16,0,1,1,sql_injection
session_000176,2026-01-12T22:59:33.943067,..\..\..\windows\system32,test,2,0.99,0,0,25,0,1,25,4,1,1,path_traversal
session_000177,2026-01-31T22:59:33.943067,user177@company.com,***,13,4.59,0,0,41,9,0,19,14,1,0,legitimate
session_000178,2026-02-06T22:59:33.943067,user178@outlook.com,***,44,4.77,0,0,36,3,0,19,13,1,0,legitimate
session_000179,2026-01-12T22:59:33.943067,user179@yahoo.com,***,14,10.75,0,0,40,4,0,17,14,1,0,legitimate
session_000180,2026-01-27T22:59:33.943067,user180@gmail.com,***,21,15.53,0,0,36,2,0,17,12,1,0,legitimate
session_000181,2026-01-26T22:59:33.943067,user181@gmail.com,***,37,19.84,0,0,36,9,0,17,9,1,0,legitimate
session_000182,2026-02-02T22:59:33.943067,user182@gmail.com,***,7,9.01,0,0,33,8,0,17,8,1,0,legitimate
session_000183,2026-02-05T22:59:33.943067,user183@gmail.com,***,6,19.99,0,0,31,2,0,17,8,1,0,legitimate
session_000184,2026-01-23T22:59:33.943067,user184@company.com,***,23,18.71,0,0,39,9,0,19,12,1,0,legitimate
session_000185,2026-02-05T22:59:33.943067,user185@yahoo.com,***,39,3.42,0,0,32,3,0,17,11,1,0,legitimate
session_000186,2026-02-07T22:59:33.943067,user186@outlook.com,***,18,13.56,0,0,38,10,0,19,14,1,0,legitimate
session_000187,2026-02-01T22:59:33.943067,user187@gmail.com,***,12,15.13,0,0,31,3,0,17,11,1,0,legitimate
session_000188,2026-01-31T22:59:33.943067,....//....//....//etc/passwd,test,0,0.41,0,0,28,0,1,28,4,1,1,path_traversal
session_000189,2026-01-25T22:59:33.943067,user189@outlook.com,***,31,9.63,0,0,36,7,0,19,12,1,0,legitimate
session_000190,2026-02-04T22:59:33.943067,user190@outlook.com,***,5,15.93,0,0,33,4,1,19,8,1,0,legitimate
session_000191,2026-01-23T22:59:33.943067,user191@company.com,***,25,18.09,0,0,31,5,0,19,10,1,0,legitimate
session_000192,2026-02-04T22:59:33.943067,user192@gmail.com,***,30,8.54,0,0,30,2,0,17,13,1,0,legitimate
session_000193,2026-02-02T22:59:33.944067,user193@yahoo.com,***,30,17.43,0,0,30,9,0,17,12,1,0,legitimate
session_000194,2026-01-30T22:59:33.944067,user194@gmail.com,***,7,19.35,0,0,36,8,0,17,13,1,0,legitimate
session_000195,2026-01-23T22:59:33.944067,user195@company.com,***,32,19.75,0,0,44,3,0,19,15,1,0,legitimate
session_000196,2026-01-15T22:59:33.944067,admin'--,,3,0.29,1,8,20,0,1,8,0,1,1,sql_injection
session_000197,2026-01-21T22:59:33.944067,user197@gmail.com,***,5,9.4,0,0,35,7,0,17,16,1,0,legitimate
session_000198,2026-02-08T22:59:33.944067,user198@gmail.com,***,27,2.08,0,0,31,3,0,17,8,1,0,legitimate
session_000199,2026-01-23T22:59:33.944067,user199@company.com,***,11,8.36,0,0,31,5,0,19,12,1,0,legitimate
session_000200,2026-02-01T22:59:33.944067,user200@outlook.com,***,14,16.45,0,0,33,8,0,19,8,1,0,legitimate
session_000201,2026-01-19T22:59:33.944067,user201@company.com,***,15,7.62,0,0,29,2,0,19,10,1,0,legitimate
session_000202,2026-02-04T22:59:33.944067,user202@company.com,***,12,7.38,0,0,35,6,0,19,14,1,0,legitimate
session_000203,2026-01-11T22:59:33.944067,bot203@automated.com,botpass8675,0,0.3,1,20,0,0,1,20,11,1,1,bot
session_000204,2026-01-20T22:59:33.944067,admin'--,123,1,0.79,0,0,12,1,1,8,3,1,1,sql_injection
session_000205,2026-01-22T22:59:33.944067,admin,pass930,1,0.91,0,0,8,0,0,5,7,1,1,brute_force
session_000206,2026-01-10T22:59:33.944067,user206@yahoo.com,***,18,7.48,0,0,30,10,0,17,13,1,0,legitimate
session_000207,2026-01-28T22:59:33.944067,user207@company.com,***,44,2.8,0,0,28,7,0,19,9,1,0,legitimate
session_000208,2026-01-20T22:59:33.944067,user208@outlook.com,***,29,16.68,0,0,34,3,1,19,15,1,0,legitimate
session_000209,2026-02-05T22:59:33.944067,user209@outlook.com,***,42,9.24,0,0,38,10,0,19,13,1,0,legitimate
session_000210,2026-01-27T22:59:33.944067,user210@company.com,***,19,10.1,0,0,31,4,1,19,10,1,0,legitimate
session_000211,2026-01-29T22:59:33.944067,user211@outlook.com,***,17,13.51,0,0,36,4,0,19,10,1,0,legitimate
session_000212,2026-01-10T22:59:33.944067,user212@yahoo.com,***,16,19.22,0,0,27,4,1,17,8,1,0,legitimate
session_000213,2026-01-11T22:59:33.944067,user213@yahoo.com,***,32,11.05,0,0,34,9,0,17,15,1,0,legitimate
session_000214,2026-01-12T22:59:33.944067,user214@outlook.com,***,39,13.83,0,0,36,5,0,19,8,1,0,legitimate
session_000215,2026-01-25T22:59:33.944067,user215@gmail.com,***,45,19.25,0,0,35,3,1,17,9,1,0,legitimate
session_000216,2026-02-05T22:59:33.944067,<script>alert('XSS')</script>,test,0,0.97,0,0,29,1,1,29,4,1,1,xss
session_000217,2026-01-09T22:59:33.944067,user217@company.com,***,40,2.39,0,0,39,5,0,19,16,1,0,legitimate
session_000218,2026-01-28T22:59:33.944067,1' AND '1'='1,123,2,1.01,0,0,18,2,1,13,3,1,1,sql_injection
session_000219,2026-01-23T22:59:33.944067,user219@outlook.com,***,34,17.93,0,0,33,9,0,19,9,1,0,legitimate
session_000220,2026-01-10T22:59:33.944067,user220@outlook.com,***,23,9.09,0,0,42,6,0,19,14,1,0,legitimate
session_000221,2026-01-31T22:59:33.944067,user221@outlook.com,***,24,11.07,0,0,37,3,0,19,15,1,0,legitimate
session_000222,2026-02-01T22:59:33.944067,"'""><script>alert(String.fromCharCode(88,83,83))</script>",,2,0.35,0,0,56,0,1,56,0,1,1,xss
session_000223,2026-01-24T22:59:33.944067,test,pass879,1,0.55,0,0,10,0,0,4,7,1,1,brute_force
